Web Search interest: aaww
Worldwide 2004 - present

Interest over time
Month,aaww
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,100
2009-06,93
2009-07,93
2009-08,93
2009-09,93
2009-10,72
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,67
2010-07,61
2010-08,55
2010-09,62
2010-10,58
2010-11,58
2010-12,54
2011-01,60
2011-02,75
2011-03,64
2011-04,66
2011-05,63
2011-06,58
2011-07,65
2011-08,59
2011-09,60
2011-10,56
2011-11,49
2011-12,64
2012-01,62
2012-02,72
2012-03,68
2012-04,73
2012-05,63
2012-06,75
2012-07,68
2012-08,60
2012-09,54
2012-10,51
2012-11,59
2012-12,54
2013-01,65
2013-02,61
2013-03,51
2013-04,65
2013-05,84
2013-06,60
2013-07,56
2013-08,61
2013-09,55
2013-10,49
2013-11,68
2013-12,63
2014-01,65
2014-02,74
2014-03,63
2014-04,60
2014-05,92
2014-06,75
2014-07,62
2014-08,64
2014-09,65
2014-10,61
2014-11,64
2014-12,59
2015-01,64
2015-02,57
2015-03,61
2015-04,60
2015-05,70
2015-06,61
2015-07,69
2015-08,74
2015-09,65
2015-10,58
2015-11,72
2015-12,49
2016-01,69
2016-02,69


Top regions for aaww
Region,aaww
United States,100


Top cities for aaww
City,aaww
New York (United States),100



Top searches for aaww
aaww stock,100



Rising searches for aaww
aaww stock,Breakout



