Web Search interest: achc
Worldwide 2004 - present

Interest over time
Month,achc
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,100
2006-09,75
2006-10,75
2006-11,75
2006-12,75
2007-01,75
2007-02,86
2007-03,85
2007-04,85
2007-05,85
2007-06,85
2007-07,85
2007-08,85
2007-09,78
2007-10,62
2007-11,84
2007-12,64
2008-01,59
2008-02,81
2008-03,60
2008-04,55
2008-05,73
2008-06,65
2008-07,65
2008-08,71
2008-09,63
2008-10,74
2008-11,65
2008-12,73
2009-01,69
2009-02,41
2009-03,59
2009-04,62
2009-05,48
2009-06,55
2009-07,67
2009-08,60
2009-09,71
2009-10,63
2009-11,46
2009-12,43
2010-01,50
2010-02,53
2010-03,58
2010-04,59
2010-05,37
2010-06,49
2010-07,53
2010-08,44
2010-09,42
2010-10,45
2010-11,44
2010-12,44
2011-01,63
2011-02,48
2011-03,60
2011-04,44
2011-05,36
2011-06,35
2011-07,42
2011-08,37
2011-09,56
2011-10,49
2011-11,48
2011-12,41
2012-01,49
2012-02,48
2012-03,42
2012-04,46
2012-05,50
2012-06,52
2012-07,35
2012-08,38
2012-09,46
2012-10,46
2012-11,44
2012-12,32
2013-01,37
2013-02,40
2013-03,46
2013-04,44
2013-05,39
2013-06,39
2013-07,37
2013-08,36
2013-09,46
2013-10,41
2013-11,36
2013-12,40
2014-01,47
2014-02,51
2014-03,43
2014-04,43
2014-05,43
2014-06,41
2014-07,42
2014-08,33
2014-09,40
2014-10,41
2014-11,39
2014-12,37
2015-01,36
2015-02,41
2015-03,42
2015-04,47
2015-05,42
2015-06,36
2015-07,37
2015-08,41
2015-09,37
2015-10,40
2015-11,33
2015-12,31
2016-01,43
2016-02,50


Top regions for achc
Region,achc
United States,100


Top cities for achc
City,achc
Bogotá (Colombia),100
New York (United States),32



Top searches for achc
achc accreditation,100
achc stock,25



Rising searches for achc
achc accreditation,Breakout
achc stock,Breakout



