Web Search interest: affx
Worldwide 2004 - present

Interest over time
Month,affx
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,100
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,89
2006-03,65
2006-04,61
2006-05,58
2006-06,55
2006-07,55
2006-08,58
2006-09,49
2006-10,54
2006-11,46
2006-12,47
2007-01,49
2007-02,50
2007-03,43
2007-04,48
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,26
2008-02,22
2008-03,22
2008-04,34
2008-05,30
2008-06,25
2008-07,32
2008-08,27
2008-09,36
2008-10,34
2008-11,29
2008-12,20
2009-01,23
2009-02,17
2009-03,17
2009-04,21
2009-05,25
2009-06,29
2009-07,21
2009-08,23
2009-09,15
2009-10,15
2009-11,15
2009-12,15
2010-01,22
2010-02,17
2010-03,13
2010-04,14
2010-05,14
2010-06,15
2010-07,16
2010-08,12
2010-09,12
2010-10,12
2010-11,12
2010-12,11
2011-01,13
2011-02,12
2011-03,11
2011-04,11
2011-05,13
2011-06,12
2011-07,15
2011-08,15
2011-09,10
2011-10,9
2011-11,9
2011-12,9
2012-01,9
2012-02,9
2012-03,9
2012-04,10
2012-05,11
2012-06,9
2012-07,8
2012-08,8
2012-09,8
2012-10,11
2012-11,7
2012-12,7
2013-01,7
2013-02,9
2013-03,8
2013-04,8
2013-05,7
2013-06,7
2013-07,8
2013-08,12
2013-09,9
2013-10,11
2013-11,12
2013-12,10
2014-01,12
2014-02,15
2014-03,9
2014-04,10
2014-05,10
2014-06,10
2014-07,9
2014-08,8
2014-09,7
2014-10,7
2014-11,9
2014-12,10
2015-01,12
2015-02,12
2015-03,13
2015-04,12
2015-05,6
2015-06,7
2015-07,7
2015-08,5
2015-09,6
2015-10,6
2015-11,6
2015-12,5
2016-01,17
2016-02,12


Top regions for affx
Region,affx
United States,100


Top cities for affx
City,affx
San Diego (United States),100



Top searches for affx
affx stock,100



Rising searches for affx
affx stock,Breakout



