Web Search interest: agtc
Worldwide 2004 - present

Interest over time
Month,agtc
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,95
2007-11,96
2007-12,97
2008-01,99
2008-02,100
2008-03,68
2008-04,63
2008-05,63
2008-06,63
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,52
2009-03,47
2009-04,47
2009-05,47
2009-06,60
2009-07,48
2009-08,48
2009-09,44
2009-10,46
2009-11,59
2009-12,43
2010-01,50
2010-02,45
2010-03,42
2010-04,42
2010-05,43
2010-06,44
2010-07,37
2010-08,36
2010-09,37
2010-10,48
2010-11,37
2010-12,31
2011-01,31
2011-02,42
2011-03,34
2011-04,44
2011-05,50
2011-06,45
2011-07,36
2011-08,30
2011-09,43
2011-10,43
2011-11,40
2011-12,27
2012-01,34
2012-02,43
2012-03,34
2012-04,39
2012-05,44
2012-06,43
2012-07,31
2012-08,31
2012-09,36
2012-10,37
2012-11,39
2012-12,30
2013-01,44
2013-02,42
2013-03,33
2013-04,38
2013-05,36
2013-06,35
2013-07,29
2013-08,28
2013-09,38
2013-10,37
2013-11,40
2013-12,36
2014-01,41
2014-02,49
2014-03,50
2014-04,49
2014-05,39
2014-06,54
2014-07,39
2014-08,38
2014-09,50
2014-10,43
2014-11,38
2014-12,36
2015-01,38
2015-02,43
2015-03,33
2015-04,46
2015-05,43
2015-06,44
2015-07,60
2015-08,40
2015-09,39
2015-10,46
2015-11,36
2015-12,34
2016-01,42
2016-02,47


Top regions for agtc
Region,agtc
United States,100


Top cities for agtc
City,agtc
Debrecen (Hungary),100



Top searches for agtc
de agtc,100
agtc dna,65



Rising searches for agtc
agtc dna,Breakout
de agtc,Breakout



