Web Search interest: ainv
Worldwide 2004 - present

Interest over time
Month,ainv
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,87
2007-03,65
2007-04,82
2007-05,100
2007-06,88
2007-07,60
2007-08,78
2007-09,61
2007-10,49
2007-11,81
2007-12,62
2008-01,52
2008-02,72
2008-03,67
2008-04,61
2008-05,71
2008-06,62
2008-07,52
2008-08,47
2008-09,41
2008-10,66
2008-11,40
2008-12,46
2009-01,31
2009-02,38
2009-03,72
2009-04,60
2009-05,43
2009-06,56
2009-07,50
2009-08,47
2009-09,52
2009-10,32
2009-11,39
2009-12,32
2010-01,23
2010-02,33
2010-03,28
2010-04,36
2010-05,31
2010-06,31
2010-07,25
2010-08,36
2010-09,27
2010-10,31
2010-11,21
2010-12,30
2011-01,21
2011-02,25
2011-03,21
2011-04,21
2011-05,18
2011-06,20
2011-07,18
2011-08,27
2011-09,16
2011-10,16
2011-11,25
2011-12,32
2012-01,21
2012-02,30
2012-03,19
2012-04,15
2012-05,24
2012-06,14
2012-07,15
2012-08,12
2012-09,17
2012-10,13
2012-11,14
2012-12,16
2013-01,15
2013-02,21
2013-03,14
2013-04,11
2013-05,15
2013-06,14
2013-07,10
2013-08,10
2013-09,10
2013-10,12
2013-11,14
2013-12,13
2014-01,12
2014-02,16
2014-03,17
2014-04,20
2014-05,19
2014-06,17
2014-07,16
2014-08,17
2014-09,20
2014-10,16
2014-11,14
2014-12,21
2015-01,18
2015-02,17
2015-03,16
2015-04,11
2015-05,19
2015-06,15
2015-07,13
2015-08,16
2015-09,13
2015-10,17
2015-11,10
2015-12,15
2016-01,15
2016-02,21


Top regions for ainv
Region,ainv
United States,100


Top cities for ainv
City,ainv
New York (United States),100



Top searches for ainv
ainv stock,100
ainv dividend,80



Rising searches for ainv
ainv dividend,Breakout
ainv stock,Breakout



