Web Search interest: akrx
Worldwide 2004 - present

Interest over time
Month,akrx
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,66
2009-08,73
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,50
2011-09,46
2011-10,46
2011-11,46
2011-12,39
2012-01,40
2012-02,40
2012-03,36
2012-04,38
2012-05,41
2012-06,43
2012-07,36
2012-08,49
2012-09,30
2012-10,29
2012-11,32
2012-12,0
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,33
2013-09,33
2013-10,34
2013-11,34
2013-12,26
2014-01,31
2014-02,32
2014-03,29
2014-04,25
2014-05,30
2014-06,28
2014-07,48
2014-08,43
2014-09,42
2014-10,49
2014-11,61
2014-12,36
2015-01,59
2015-02,74
2015-03,100
2015-04,98
2015-05,75
2015-06,56
2015-07,45
2015-08,28
2015-09,32
2015-10,47
2015-11,37
2015-12,32
2016-01,48
2016-02,0


Top regions for akrx
Region,akrx
United States,100


Top cities for akrx
City,akrx
New York (United States),100



Top searches for akrx
akrx stock,100



Rising searches for akrx
akrx stock,Breakout



