Web Search interest: amkr
Worldwide 2004 - present

Interest over time
Month,amkr
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,100
2006-03,64
2006-04,65
2006-05,67
2006-06,64
2006-07,64
2006-08,64
2006-09,64
2006-10,64
2006-11,63
2006-12,49
2007-01,88
2007-02,59
2007-03,48
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,32
2007-11,32
2007-12,32
2008-01,32
2008-02,33
2008-03,26
2008-04,30
2008-05,38
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,29
2009-01,23
2009-02,23
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,22
2009-10,19
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,21
2010-05,19
2010-06,19
2010-07,19
2010-08,19
2010-09,19
2010-10,17
2010-11,15
2010-12,15
2011-01,15
2011-02,18
2011-03,13
2011-04,17
2011-05,16
2011-06,16
2011-07,16
2011-08,15
2011-09,16
2011-10,12
2011-11,12
2011-12,12
2012-01,12
2012-02,15
2012-03,15
2012-04,11
2012-05,11
2012-06,11
2012-07,11
2012-08,10
2012-09,10
2012-10,9
2012-11,11
2012-12,13
2013-01,13
2013-02,10
2013-03,12
2013-04,16
2013-05,16
2013-06,15
2013-07,17
2013-08,15
2013-09,12
2013-10,19
2013-11,21
2013-12,24
2014-01,25
2014-02,28
2014-03,31
2014-04,34
2014-05,47
2014-06,54
2014-07,41
2014-08,42
2014-09,39
2014-10,45
2014-11,46
2014-12,51
2015-01,51
2015-02,66
2015-03,54
2015-04,75
2015-05,66
2015-06,59
2015-07,72
2015-08,62
2015-09,67
2015-10,67
2015-11,58
2015-12,58
2016-01,61
2016-02,60


Top regions for amkr
Region,amkr
Brazil,100
United States,18





Top searches for amkr
frases amkr,100
frases de amkr,85
el amkr,55
amkr stock,50



Rising searches for amkr
amkr stock,Breakout
el amkr,Breakout
frases amkr,Breakout
frases de amkr,Breakout



