Web Search interest: amsg
Worldwide 2004 - present

Interest over time
Month,amsg
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,87
2006-02,72
2006-03,72
2006-04,100
2006-05,76
2006-06,65
2006-07,65
2006-08,65
2006-09,65
2006-10,69
2006-11,72
2006-12,76
2007-01,66
2007-02,63
2007-03,55
2007-04,57
2007-05,58
2007-06,48
2007-07,69
2007-08,61
2007-09,50
2007-10,46
2007-11,56
2007-12,54
2008-01,49
2008-02,48
2008-03,59
2008-04,46
2008-05,42
2008-06,54
2008-07,56
2008-08,45
2008-09,44
2008-10,52
2008-11,44
2008-12,35
2009-01,36
2009-02,39
2009-03,33
2009-04,37
2009-05,30
2009-06,40
2009-07,35
2009-08,27
2009-09,38
2009-10,30
2009-11,26
2009-12,33
2010-01,25
2010-02,31
2010-03,30
2010-04,28
2010-05,29
2010-06,23
2010-07,25
2010-08,19
2010-09,26
2010-10,26
2010-11,22
2010-12,17
2011-01,22
2011-02,23
2011-03,23
2011-04,25
2011-05,20
2011-06,17
2011-07,20
2011-08,17
2011-09,19
2011-10,23
2011-11,14
2011-12,16
2012-01,15
2012-02,17
2012-03,14
2012-04,15
2012-05,17
2012-06,13
2012-07,16
2012-08,16
2012-09,14
2012-10,13
2012-11,12
2012-12,10
2013-01,11
2013-02,13
2013-03,13
2013-04,16
2013-05,15
2013-06,10
2013-07,10
2013-08,13
2013-09,13
2013-10,17
2013-11,14
2013-12,12
2014-01,13
2014-02,11
2014-03,11
2014-04,15
2014-05,14
2014-06,16
2014-07,15
2014-08,13
2014-09,14
2014-10,11
2014-11,12
2014-12,12
2015-01,11
2015-02,16
2015-03,15
2015-04,11
2015-05,11
2015-06,12
2015-07,10
2015-08,15
2015-09,16
2015-10,22
2015-11,21
2015-12,14
2016-01,14
2016-02,20


Top regions for amsg
Region,amsg
United States,100











