Web Search interest: amtg
Worldwide 2004 - present

Interest over time
Month,amtg
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,0
2011-10,0
2011-11,0
2011-12,0
2012-01,0
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,56
2012-07,71
2012-08,85
2012-09,100
2012-10,69
2012-11,58
2012-12,58
2013-01,56
2013-02,62
2013-03,67
2013-04,62
2013-05,66
2013-06,65
2013-07,88
2013-08,46
2013-09,57
2013-10,66
2013-11,51
2013-12,55
2014-01,59
2014-02,62
2014-03,56
2014-04,59
2014-05,46
2014-06,48
2014-07,50
2014-08,51
2014-09,52
2014-10,53
2014-11,45
2014-12,45
2015-01,45
2015-02,39
2015-03,39
2015-04,41
2015-05,48
2015-06,47
2015-07,47
2015-08,47
2015-09,47
2015-10,40
2015-11,40
2015-12,43
2016-01,38
2016-02,0









