Web Search interest: asc
Worldwide 2004 - present

Interest over time
Week,asc
2004-01-04 - 2004-01-10,82
2004-01-11 - 2004-01-17,90
2004-01-18 - 2004-01-24,90
2004-01-25 - 2004-01-31,93
2004-02-01 - 2004-02-07,95
2004-02-08 - 2004-02-14,94
2004-02-15 - 2004-02-21,99
2004-02-22 - 2004-02-28,85
2004-02-29 - 2004-03-06,88
2004-03-07 - 2004-03-13,94
2004-03-14 - 2004-03-20,99
2004-03-21 - 2004-03-27,86
2004-03-28 - 2004-04-03,88
2004-04-04 - 2004-04-10,82
2004-04-11 - 2004-04-17,91
2004-04-18 - 2004-04-24,92
2004-04-25 - 2004-05-01,90
2004-05-02 - 2004-05-08,91
2004-05-09 - 2004-05-15,88
2004-05-16 - 2004-05-22,84
2004-05-23 - 2004-05-29,89
2004-05-30 - 2004-06-05,87
2004-06-06 - 2004-06-12,88
2004-06-13 - 2004-06-19,83
2004-06-20 - 2004-06-26,95
2004-06-27 - 2004-07-03,90
2004-07-04 - 2004-07-10,91
2004-07-11 - 2004-07-17,84
2004-07-18 - 2004-07-24,83
2004-07-25 - 2004-07-31,94
2004-08-01 - 2004-08-07,91
2004-08-08 - 2004-08-14,87
2004-08-15 - 2004-08-21,98
2004-08-22 - 2004-08-28,88
2004-08-29 - 2004-09-04,94
2004-09-05 - 2004-09-11,100
2004-09-12 - 2004-09-18,94
2004-09-19 - 2004-09-25,90
2004-09-26 - 2004-10-02,86
2004-10-03 - 2004-10-09,89
2004-10-10 - 2004-10-16,80
2004-10-17 - 2004-10-23,96
2004-10-24 - 2004-10-30,98
2004-10-31 - 2004-11-06,84
2004-11-07 - 2004-11-13,86
2004-11-14 - 2004-11-20,87
2004-11-21 - 2004-11-27,84
2004-11-28 - 2004-12-04,93
2004-12-05 - 2004-12-11,81
2004-12-12 - 2004-12-18,83
2004-12-19 - 2004-12-25,78
2004-12-26 - 2005-01-01,60
2005-01-02 - 2005-01-08,78
2005-01-09 - 2005-01-15,89
2005-01-16 - 2005-01-22,99
2005-01-23 - 2005-01-29,88
2005-01-30 - 2005-02-05,89
2005-02-06 - 2005-02-12,90
2005-02-13 - 2005-02-19,81
2005-02-20 - 2005-02-26,88
2005-02-27 - 2005-03-05,85
2005-03-06 - 2005-03-12,85
2005-03-13 - 2005-03-19,89
2005-03-20 - 2005-03-26,92
2005-03-27 - 2005-04-02,85
2005-04-03 - 2005-04-09,91
2005-04-10 - 2005-04-16,85
2005-04-17 - 2005-04-23,83
2005-04-24 - 2005-04-30,84
2005-05-01 - 2005-05-07,84
2005-05-08 - 2005-05-14,94
2005-05-15 - 2005-05-21,90
2005-05-22 - 2005-05-28,83
2005-05-29 - 2005-06-04,88
2005-06-05 - 2005-06-11,88
2005-06-12 - 2005-06-18,87
2005-06-19 - 2005-06-25,89
2005-06-26 - 2005-07-02,81
2005-07-03 - 2005-07-09,79
2005-07-10 - 2005-07-16,85
2005-07-17 - 2005-07-23,87
2005-07-24 - 2005-07-30,83
2005-07-31 - 2005-08-06,80
2005-08-07 - 2005-08-13,86
2005-08-14 - 2005-08-20,85
2005-08-21 - 2005-08-27,91
2005-08-28 - 2005-09-03,86
2005-09-04 - 2005-09-10,88
2005-09-11 - 2005-09-17,90
2005-09-18 - 2005-09-24,84
2005-09-25 - 2005-10-01,87
2005-10-02 - 2005-10-08,82
2005-10-09 - 2005-10-15,80
2005-10-16 - 2005-10-22,80
2005-10-23 - 2005-10-29,89
2005-10-30 - 2005-11-05,86
2005-11-06 - 2005-11-12,79
2005-11-13 - 2005-11-19,88
2005-11-20 - 2005-11-26,72
2005-11-27 - 2005-12-03,79
2005-12-04 - 2005-12-10,77
2005-12-11 - 2005-12-17,75
2005-12-18 - 2005-12-24,77
2005-12-25 - 2005-12-31,62
2006-01-01 - 2006-01-07,78
2006-01-08 - 2006-01-14,86
2006-01-15 - 2006-01-21,83
2006-01-22 - 2006-01-28,85
2006-01-29 - 2006-02-04,87
2006-02-05 - 2006-02-11,89
2006-02-12 - 2006-02-18,79
2006-02-19 - 2006-02-25,77
2006-02-26 - 2006-03-04,82
2006-03-05 - 2006-03-11,83
2006-03-12 - 2006-03-18,82
2006-03-19 - 2006-03-25,76
2006-03-26 - 2006-04-01,77
2006-04-02 - 2006-04-08,82
2006-04-09 - 2006-04-15,84
2006-04-16 - 2006-04-22,78
2006-04-23 - 2006-04-29,80
2006-04-30 - 2006-05-06,81
2006-05-07 - 2006-05-13,86
2006-05-14 - 2006-05-20,84
2006-05-21 - 2006-05-27,78
2006-05-28 - 2006-06-03,77
2006-06-04 - 2006-06-10,78
2006-06-11 - 2006-06-17,78
2006-06-18 - 2006-06-24,83
2006-06-25 - 2006-07-01,78
2006-07-02 - 2006-07-08,72
2006-07-09 - 2006-07-15,73
2006-07-16 - 2006-07-22,77
2006-07-23 - 2006-07-29,81
2006-07-30 - 2006-08-05,84
2006-08-06 - 2006-08-12,78
2006-08-13 - 2006-08-19,80
2006-08-20 - 2006-08-26,83
2006-08-27 - 2006-09-02,81
2006-09-03 - 2006-09-09,78
2006-09-10 - 2006-09-16,84
2006-09-17 - 2006-09-23,80
2006-09-24 - 2006-09-30,87
2006-10-01 - 2006-10-07,80
2006-10-08 - 2006-10-14,84
2006-10-15 - 2006-10-21,80
2006-10-22 - 2006-10-28,83
2006-10-29 - 2006-11-04,85
2006-11-05 - 2006-11-11,78
2006-11-12 - 2006-11-18,78
2006-11-19 - 2006-11-25,73
2006-11-26 - 2006-12-02,79
2006-12-03 - 2006-12-09,71
2006-12-10 - 2006-12-16,73
2006-12-17 - 2006-12-23,68
2006-12-24 - 2006-12-30,64
2006-12-31 - 2007-01-06,68
2007-01-07 - 2007-01-13,80
2007-01-14 - 2007-01-20,80
2007-01-21 - 2007-01-27,78
2007-01-28 - 2007-02-03,76
2007-02-04 - 2007-02-10,84
2007-02-11 - 2007-02-17,81
2007-02-18 - 2007-02-24,78
2007-02-25 - 2007-03-03,81
2007-03-04 - 2007-03-10,76
2007-03-11 - 2007-03-17,79
2007-03-18 - 2007-03-24,79
